no,title,format,cat1,cat2,cat3,what,material,medium,pagelink,imglink,year,month,date,days,In h,hours
49,i hacked the world,Image,Misc,,"Destruction, Map, Performance",Glitched map and performance.,-,Digital,https://karynnakamura.com/post/656518489854590977/i-hacked-the-world-here-is-a-video-where-i-zoom,https://64.media.tumblr.com/9614aa562b7ec102bbbdcde138d91147/521d5d71791ff98b-e5/s1280x1920/ed049a890845cd258c9e30266823903de60a208c.png,2021,June,6/8/2021,372,8928,3
50,New Media Art x Neo Shibuya TV Fluidy Visual,Video,Motion Graphics,,,Motion Graphics.,-,Digital,https://karynnakamura.com/post/656519153340022785/new-media-art-x-neo-shibuya-tv-fluidy-visual-i,https://64.media.tumblr.com/bda5dc9753af1ea3b1b75dcf549d88da/963378b651728147-99/s540x810/718a8f9f5f6921598bc41ca70932528f3f221aad.gifv,2021,June,6/9/2021,373,8952,2
51,JELLOOOO,Experience,Projection,,,Interactive projection.,"Projector, Kinect",Physical,https://karynnakamura.com/post/656520757614149632/jelloooo-longer-video-below-also-includes-mouse,https://64.media.tumblr.com/5a912502b0a902c63705c13916dcd07b/3e8fd56dfbb6c2c6-5a/s540x810/12eecbebab1fb1ecd150dc32ae992259fcfba4b9.gifv,2021,June,6/12/2021,376,9024,6
52,BLEED no.1,Experience,Projection,,,Interactive projection.,"Projector, Kinect",Physical,https://karynnakamura.com/post/656520207855190016/bleed-no1-longer-video-below,https://64.media.tumblr.com/88b4b282a5f00869bd6c44490fcdfb6f/626a2438754d01a3-cf/s540x810/ceaebb8f41c1a874cfc5074b7a3f1ede5491dd65.gifv,2021,June,6/14/2021,378,9072,14
53,BLEED no.2,Experience,Projection,,,Interactive projection.,"Projector, Kinect",Physical,https://karynnakamura.com/post/656520154055901184/bleed-no2-longer-video-below,https://64.media.tumblr.com/89e41ed49ca3b97a33999b7818adc7fd/9529be22319ccd67-cb/s540x810/2b4a63596716db36c3779b496d966166f41bce08.gifv,2021,June,6/15/2021,379,9096,6
54,FEEDBACK LOOP VORTEX,Experience,Projection,,,Interactive projection.,"Projector, Camera",Physical,https://karynnakamura.com/post/656521628961964032/feedback-loop-vortex-longer-video-below,https://64.media.tumblr.com/72a9806749875755d1ff5b4ed7765777/310a86a3c8dd84a5-6e/s540x810/78d196e66862bfad887f7bf391a70f59403fa6dc.gifv,2021,June,6/17/2021,381,9144,3
55,BLEND,Experience,Projection,,,Interactive projection.,"Projector, Kinect",Physical,https://karynnakamura.com/post/656521222061948928/blend-longer-video-below,https://64.media.tumblr.com/31a45c9dfc353e0f58909cc8de063b6f/1de012c64b991f6a-31/s540x810/70972ee9e1f90137fbc46f100e353185c9219e04.gifv,2021,June,6/18/2021,382,9168,3
56,SUPER POWERSSSS!!11!!1,Experience,Projection,,,Interactive projection.,"Projector, Kinect",Physical,https://karynnakamura.com/post/656521847273324544/super-powerssss111-longer-video-below,https://64.media.tumblr.com/44a7d2b0ad784860869b8846ccc497cd/9333db18a124f0ff-2a/s540x810/9db6cb508e00e722fdb2044786d7d38eb13c781c.gifv,2021,June,6/20/2021,384,9216,7
57,a scribble for u,Experience,Projection,,,Interactive projection.,"Projector, Kinect",Physical,https://karynnakamura.com/post/656521955121446912/a-scribble-for-u-an-interactive-installation,https://64.media.tumblr.com/3dc2296e2dba43dd61005a8f7e191dfa/8bf5693736c6769c-ec/s540x810/9f3a23d44baf16c4534187f51a7abd7a48ce832c.gifv,2021,June,6/23/2021,387,9288,9
58,BEHIND???,Experience,Projection,,,Interactive projection.,"Projector, Kinect",Physical,https://karynnakamura.com/post/656522870649962496/behind-longer-video-below,https://64.media.tumblr.com/e4527e20f1f695c8d6cfbabf6f71a130/001029906760228c-cf/s540x810/ff231da690147986cea1f66ed0c237719e248e32.gifv,2021,June,6/26/2021,390,9360,14
59,YOU vs. COMPUTER,Experience,Projection,,"Destruction, Man vs. Machine",Interactive projection.,"Projector, Kinect",Physical,https://karynnakamura.com/post/656523258258145280/you-vs-computer-interactive-installation-where,https://64.media.tumblr.com/f2ca3f299135d6491e54664cd30ec757/007df06cd167cd99-4c/s540x810/c9d07c6cf0c0ecd3e6365faa88b80aed568f369f.gifv,2021,June,6/30/2021,394,9456,25
60,sound as a network,Experience,Audiovisual,,Piano,Interactive audiovisual experience on piano.,Piano,Physical,https://karynnakamura.com/post/661051135861325824/sound-as-a-network-each-line-follows-a-note-from,https://64.media.tumblr.com/7034b594f2bb6c53b4fbb1b3db7110d0/ca4af661dab6be62-d1/s540x810/948f600e142d7503da25091b2b71f796eb576950.gifv,2021,July,7/10/2021,404,9696,40
61,the soul and the body.,Experience,Projection,,Digital bodies,Interactive projection with live physics.,"2 Projectors, Kinect",Physical,https://karynnakamura.com/post/661051437397295104/the-soul-and-the-body-a-series-of,https://64.media.tumblr.com/8552a461e5848c4215e6fd6f9bf1580c/3103334974dc1727-ec/s540x810/954029c4d15851e305dffacb4ddb4ab6754faf23.gifv,2021,July,7/13/2021,407,9768,42
62,my brain trying to get my body up in the morning,Experience,Projection,,Digital bodies,Interactive projection with live physics.,"2 Projectors, Kinect",Physical,https://karynnakamura.com/post/661060816668409856/my-brain-trying-to-get-my-body-up-in-the-morning,https://64.media.tumblr.com/cb3fe44b13ba11a3e3088322ee867086/ec6ee77d9969484a-7b/s540x810/80590a98704bd913487ab76b6b93894b0ccc119d.gifv,2021,July,7/15/2021,409,9816,8
63,it’s raining little people. they’re actually all you.,Experience,Projection,,Digital bodies,Interactive projection with live physics.,"2 Projectors, Kinect",Physical,https://karynnakamura.com/post/661065226939187200/its-raining-little-people-theyre-actually-all,https://64.media.tumblr.com/90ae3ad21f5064cdcafe5142ea91e85d/2a7d8c90d1df1481-b3/s540x810/80c49e19451e1232de35b43ad694f8af30343fe3.gifv,2021,July,7/16/2021,410,9840,5
64,letters ascending. letters falling.,Experience,Projection,,Performance,Interactive projection with live physics.,"2 Projectors, Kinect",Physical,https://karynnakamura.com/post/661065464348327936/letters-ascending-letters-falling-full-video,https://64.media.tumblr.com/8c2f57bdae7b2267d912bc42617c02ae/e01fb8899f617375-08/s540x810/cee11db6f21fa953eeb59ade01f1dce471374823.gifv,2021,July,7/19/2021,413,9912,12
65,BOOM BOOM,Experience,Projection,,,Interactive projection.,"2 Projectors, Kinect",Physical,https://karynnakamura.com/post/661066575371173888/boom-boom-and-boom-boom-boom-the-circle-explodes,https://64.media.tumblr.com/621e3cec58c8776c5993f457c242d218/2a11cd97b3facb93-52/s540x810/dabcc1f329c520b709e4696760452ceb6f0f013d.gifv,2021,July,7/22/2021,416,9984,46
66,BOOM BOOM BOOM BOOM,Experience,Projection,,,Interactive projection.,"2 Projectors, Kinect",Physical,https://karynnakamura.com/post/661066750469767168/boom-boom-boom-boom-more-of-me-chasing-circles,https://64.media.tumblr.com/f0042111f9a9799c6412ee6829d75887/e785a3afdf43029c-e9/s540x810/ec44db7c6c77b75ea9a4c4658b33c72a5eac6a0b.gifv,2021,July,7/23/2021,417,10008,6
67,hybridmoment.com IRL !!,Experience,Projection,,,Interactive projection.,"2 Projectors, Kinect",Physical,https://karynnakamura.com/post/661066040306008064/hybridmomentcom-irl-i-really-love-the-website,https://64.media.tumblr.com/fe39a9edbd69012d39985620903acace/1d82b992279eaf93-e1/s540x810/d3be188b6399edf07749683449460b7df7d87778.gifv,2021,July,7/24/2021,418,10032,2
68,piano trails 90,Experience,Projection,Audiovisual,Piano,Interactive audiovisual projection with piano.,"2 Projectors, Keyboard",Physical,https://karynnakamura.com/post/661068463850274818/piano-trails-90-lines-shoot-up-from-the-keys,https://64.media.tumblr.com/d4ed56e35ce3cba256b6f388627ff1b8/6f252fae78654d5b-02/s500x750/4ab61c066e4bd0921ea19930b149f3d5af87fd38.gifv,2021,August,8/6/2021,431,10344,16
