no,title,format,cat1,cat2,cat3,what,material,medium,pagelink,imglink,year,month,date,days,In h,hours
1,10 Second Reverberations,Experience,Audiovisual,,Piano,Interactive audiovisual experience on piano.,Piano,Physical,https://karynnakamura.com/post/640720433568743424/10-second-reverberations-a-sound-exists-not-only,https://64.media.tumblr.com/dda087848995b3f93839fd45be9e9c94/e439cd4add15c03d-32/s540x810/c4a4f04801ed269d14cd700c41c6190b18b3130a.gifv,2020,May,5/21/2020,0,0,35
2,Clutter Type,Experience,Misc,,,Interactive program on computer.,Computer,Physical,https://karynnakamura.com/post/640718493224927232/clutter-type-inspired-by-my-messy-end-of-semester,https://64.media.tumblr.com/b39b97e859c98fb5ab087392e0ae507f/6ca4aa4b72c89ef0-5f/s540x810/87434c583054e8405fde1ed109bc06561c2806a5.gifv,2020,June,6/19/2020,29,696,8
3,Home Tones,Experience,Audiovisual,,Piano,Interactive audiovisual experience on piano.,Piano,Physical,https://karynnakamura.com/post/640718446146011136/home-tones-i-was-curious-of-how-the-colors-of,https://64.media.tumblr.com/2d3004868d5703ee6482b37b46f9aa6e/ff24ee7d7dd149fd-0b/s1280x1920/60ef4f660208395bd9ee13786b54b8cb0d15fc29.png,2020,July,7/6/2020,46,1104,12
4,Women in the Japanese Workforce,Website,Website,,Dataviz,Data visualization website.,-,Digital,https://karynnakamura.com/post/640718516285227008/women-in-the-japanese-workforce-data-visualization,https://64.media.tumblr.com/1da0dd16006a55c99e50937dc3796ccd/ab2da8d7d700ca9e-fb/s1280x1920/60d87531bda364b0105971b8d3cafb45259c3d0a.png,2020,August,8/2/2020,73,1752,15
5,House of Representatives,Website,Website,,Dataviz,Data visualization website.,-,Digital,https://karynnakamura.com/post/640720637494689792/house-of-representatives-data-visualization-of,https://64.media.tumblr.com/1351114d7f6720319d38bc9aeb1437c9/02226618dd9f28df-c6/s540x810/5914ddd87944a7f2b7df93c18ad3901b741b6362.gifv,2020,August,8/9/2020,80,1920,20
6,Slaughter Beach Dog Safe and Also No Fear Audiovisual,Video,Audiovisual,,Distorted,Audiovisual video.,-,Digital,https://karynnakamura.com/post/640720306086035456/album-cover-audiovisual-slaughter-beach-dog-safe,https://64.media.tumblr.com/e307c0e6ed4bd0862ac96d01228a0c62/b323914696c2a015-7a/s540x810/8d02ace59dce77aa1c8daa529ab9d85bda2a1d46.gifv,2020,August,8/20/2020,91,2184,18
7,,Image,Graphic Design,,Distorted,Distorted photo.,-,Digital,https://karynnakamura.com/post/645245973184036864/wonky-sunset-today,https://64.media.tumblr.com/4de641d52d91d7667fe6f9cba9083406/7ce9e2a25e9c3ef6-b8/s1280x1920/5da8e27587b2a32f1b8ba3cc45b0a72b863ddd4c.jpg,2020,September,9/10/2020,112,2688,0.2
8,,Image,Graphic Design,,Distorted,Distorted photo.,-,Digital,https://karynnakamura.com/post/645246392379506688,https://64.media.tumblr.com/ed9e5b249cbf7547bbdafbd35ca8c1cc/f61b8c9d7276e1d1-d2/s540x810/75fd7c1a3abb5c626c30017c464d9613ff5a96d3.gifv,2020,September,9/11/2020,113,2712,0.2
9,Kodak ProImage 100 August 2020 Roll,Image,Graphic Design,,,Image average.,-,Digital,https://karynnakamura.com/post/646362873172508672/image-average-of-a-roll-of-kodak-proimage-100-film,https://64.media.tumblr.com/9d26e382c0c53bd5955a659eb79c4e74/d2018fec03c07c8d-ad/s1280x1920/2513048e67150b47ce6deb8d055c35e8d44c30a0.jpg,2020,October,10/1/2020,132,3168,0.5
10,Joy Division Unknown Pleasures Audiovisual,Video,Audiovisual,,,Audiovisual video.,-,Digital,https://karynnakamura.com/post/640720116707999744/album-cover-audiovisual-joy-division-unknown,https://64.media.tumblr.com/d8f359de237a846506f86c06619494c6/dfff839cbc666253-7c/s540x810/92f815768cf25acc85c775bf28dae96bb9c171f9.gifv,2020,October,10/5/2020,136,3264,12
11,(I worship Lillian Schwartz),Video,Motion Graphics,,Distorted,Motion Graphics.,-,Digital,https://karynnakamura.com/post/645248574945427456,https://64.media.tumblr.com/ed28b63d53110e8c862999aca50bb2ef/77ac024cffc43ded-24/s400x600/4048befe5e0a5e2365bbc632b2645cf5bea25e64.gifv,2020,October,10/10/2020,141,3384,3
12,Oil and Water,Video,Motion Graphics,,Distorted,Motion Graphics.,-,Digital,https://karynnakamura.com/post/645244437287534592/oil-and-water,https://64.media.tumblr.com/fc51729dac79f585ad957be8f4f4e2c7/8b7d1b73d4c803ff-f7/s540x810/f19137122cb9ec1e61c67455deef9ae6eae6c9e6.gifv,2020,October,10/22/2020,153,3672,0.2
13,Trails,Experience,Projection,,,Interactive projection.,"Projector, Kinect",Physical,https://karynnakamura.com/post/640718612380909568/trails-inspired-by-camille-utterbacks-interactive,https://64.media.tumblr.com/07ffe12c85ab1c0aa65308c91f1b7860/57898d783d3b3f76-d5/s540x810/d70710b4acfc289ec97191723983e20b6f30bd4a.gifv,2020,November,11/5/2020,167,4008,10
14,,Image,Misc,,Distorted,Distorted photo,-,Digital,https://karynnakamura.com/post/645247004064235520,https://64.media.tumblr.com/250c87bda84e29f5b1a0aea71a2d98c2/acade87721eae1a7-ac/s1280x1920/f04388f284549c886c77c9e9f6a5dc356779e5df.png,2020,November,11/10/2020,172,4128,2
15,,Image,Misc,,Distorted,Distorted photo.,-,Digital,https://karynnakamura.com/post/645248451459907584,https://64.media.tumblr.com/6e46cf99e0ad320d68f3d29a86cf188c/25944fac7bf72407-81/s500x750/059c39f40cbe75f2714b712ef6271db5f4053011.gifv,2020,November,11/11/2020,173,4152,2
16,Visualize NYC 2021,Website,Website,,Dataviz,Data visualization website.,-,Digital,https://karynnakamura.com/post/640720212646313984/visualize-nyc-2021-data-visualization-of-rent,https://64.media.tumblr.com/a0257103b837bd9e707b37b0bab542e0/efa32362a7b28037-e7/s1280x1920/6ce3ea3806efd0956028a9263d4b135319a18b05.png,2020,November,11/20/2020,182,4368,40
17,"STOMP - A loud typeface for messages that need to be heard.
",Website,Graphic Design,,Performance,Interactive website.,-,Digital,https://karynnakamura.com/post/640718973392093184/stomp-a-loud-typeface-for-messages-that-need-to-be,https://64.media.tumblr.com/1d6f43661e5844c729d9f485af4a3fd4/0be7fd8695a273bd-0f/s540x810/b7645f1c206b7571bda9a55bbd9eab66a91313a4.gifv,2020,November,11/27/2020,189,4536,30
18,Box No.5,Video,Misc,,,House design and audiovisual architectural render.,-,Digital,https://karynnakamura.com/post/640720564310441985/box-no5-a-small-reinforced-concrete-box-that,https://64.media.tumblr.com/fc2ecda1962209965b67caf93efca1b2/b93e843ab229035e-1c/s540x810/369ad4609d8077182e8d758154796e5329df44d4.gifv,2020,December,12/3/2020,195,4680,45
19,Desktop Explorer,Website,Website,,,Interactive website.,-,Digital,https://karynnakamura.com/post/640719058019516416/desktop-explorer-travel-through-the-physical-and,https://64.media.tumblr.com/b4ad279200bfe92eb841012502050a24/2ef176e0fdc352f9-eb/s540x810/87e58d9fe7306a944d83c6e63fec67fe67006943.gifv,2020,December,12/7/2020,199,4776,10
20,NYC Nutrition Accessibility,Website,Website,,Map Dataviz,Data visualization website.,-,Digital,https://karynnakamura.com/post/640719083806031872/nyc-nutrition-accessibility-map-based-interactive,https://64.media.tumblr.com/4c1f9d41916f746cc72f79f183dde6cb/09c05d71a43be7c1-be/s1280x1920/c6ca09b6a0eea73a039308f82f18879852b779c3.png,2020,December,12/11/2020,203,4872,37
21,Note Bleed,Experience,Audiovisual,,Piano,Interactive audiovisual experience on piano.,Piano,Physical,https://karynnakamura.com/post/640720263554744320/note-bleed-see-full-audiovisual-below-made-in,https://64.media.tumblr.com/22aabd8964af3aa65d9d9a50a327f931/5b81e4ce2ba07394-43/s540x810/83e33c91d4744d590a03980ff241d5167b051bca.gifv,2020,December,12/16/2020,208,4992,5
22,Tame Impala Currents Audiovisual,Video,Audiovisual,,Distorted,Audiovisual video.,-,Digital,https://karynnakamura.com/post/641389091062153216/album-cover-audiovisual-tame-impala-currents,https://64.media.tumblr.com/360b7d975ce81917c313a631030e7385/fb18d0b3dc8f9b26-9b/s540x810/728a6b3a607153820f8463bc0258b3a9478498c3.gifv,2020,December,12/26/2020,218,5232,23
23,Badumdumdumdumbzzzzzzz,Image,Graphic Design,,Distorted,Distorted image.,-,Digital,https://karynnakamura.com/post/645244700980363264/acid-wash-your-music-badumdumdumdumbzzzzzzz,https://64.media.tumblr.com/053a1ee9f1ee3b87674fff79113dc416/2e7f980d4e9b19d0-4d/s2048x3072/1a3fdf278454b109936ff9c3401594543fd16e6d.jpg,2021,January,1/2/2021,225,5400,0.5
24,Audio + Visual Distortions,Experience,Audiovisual,,Distorted,Interactive audiovisual program.,-,Digital,https://karynnakamura.com/post/645251969487945728/audio-visual-distortions-video-is-distorted-on,https://64.media.tumblr.com/e96539583b9d6e1dc3970518178375ef/523813453829a73b-cb/s640x960/13ae96c719fc98e96d808671bc4d6a06a7526128.gifv,2021,January,1/20/2021,243,5832,2
25,What is noise?,Video,Motion Graphics,,Distorted,Audiovisual Video.,-,Digital,https://karynnakamura.com/post/645254641087578112/what-is-noise-a-three-part-series-of-the,https://64.media.tumblr.com/094687aab3a57cc193c5f355640f5f7b/05de8610095a2306-d6/s640x960/1e2c58bee9352d98566273fb2f588616cb183841.gifv,2021,January,1/24/2021,247,5928,15
26,Lord of the Rings,Object,Misc,,"Destruction, Analog",Glitched DVD.,DVD,Physical,https://karynnakamura.com/post/653177589889892352/i-scratched-my-name-into-a-lord-of-the-rings-dvd,https://64.media.tumblr.com/f3a121a71baa41c21b24dda64dc51651/cad1d4767e63c679-ab/s1280x1920/5e58152da18a9c784eb380d47c68516cdb77eef5.jpg,2021,February,2/3/2021,257,6168,0.2
27,CALCULAT,Program,Misc,,Destruction,Custom program on TI-84.,-,Digital,https://karynnakamura.com/post/653178334854905856/a-program-i-wrote-on-my-ti-84-called-calculat-that,https://64.media.tumblr.com/176f890ba73f57e503f6bcd70182d85c/8a3260c4c2c1a72d-e5/s1280x1920/a1d25d41ce8fbaa48915139cffc2197ad4245e0f.png,2021,February,2/5/2021,259,6216,0.2
28,DIY WORLD MAP FOR CARTOGRAPHIC NIHILISTS,Website,Website,,"Destruction, Map Dataviz",Interactive map website.,-,Digital,https://karynnakamura.com/post/646822889770926081/diy-world-map-for-cartographic-nihilists-map,https://64.media.tumblr.com/283b14a4ac9b22f634052e7794d09e6c/8576f7c32c24322d-84/s640x960/ffc0d1681aeaf9f6603b50d9caa1171c0c73c369.gifv,2021,February,2/25/2021,279,6696,50
29,Buzz,Video,Audiovisual,,Distorted,"Audiovisual Video, ",-,Digital,https://karynnakamura.com/post/645252481048330240/buzz-audio-used-to-distort-video-see-full-video,https://64.media.tumblr.com/06048914b3a560a6df3118ee5d0545fa/bca5638c765d344e-be/s640x960/0d6927a374a95b283726b53dbc463019ee021bd8.gifv,2021,March,3/10/2021,292,7008,2
30,a pile of disposed keys,Experience,Audiovisual,,"Destruction, Piano",Interactive audiovisual experience on piano.,Piano,Physical,https://karynnakamura.com/post/646823765820456960/a-pile-of-disposed-keys-piano-keys-one-time-use,https://64.media.tumblr.com/d6225ab877f2200bcb8c78bd11cef699/33a28bb918ba0052-0d/s640x960/efc339ef639dbd35defe95c8d85e397e318adaa3.gifv,2021,March,3/16/2021,298,7152,20
31,musical construction,Experience,Audiovisual,,"Destruction, Piano, ",Interactive audiovisual experience on piano.,Piano,Physical,https://karynnakamura.com/post/646824027942420480/musical-construction-wobbly-toppling-bad,https://64.media.tumblr.com/b65c240d8d7095df4f62272d4b986f36/255ddaabea7f2349-28/s640x960/7a16b1fa191c5c1a508eeb721fed36937e368904.gifv,2021,March,3/18/2021,300,7200,9
